state_id,state_name,question_no,industry_code,industry_name,option,career_option,is_correct,career_type
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,A,Accountant,1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,B,Photographer,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,C,Salesperson,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,D,Entrepreneur,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,E,Office Administrator,1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,F,City Planner,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,G,Sports Coach,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.11,II,Industry Independent,H,Logistics & Supply Chain Professional,1,Emerging
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,A,Accountant,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,B,Photographer,-1,
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,C,Salesperson,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,D,Entrepreneur,1,Emerging
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,E,Office Administrator,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,F,City Planner,-1,
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,G,Sports Coach,-1,
a0v9C00000010e3QAA,Nagaland,Q6.11,II,Industry Independent,H,Logistics & Supply Chain Professional,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,A,Accountant,1,Steady
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,B,Photographer,-1,
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,C,Salesperson,1,Steady
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,D,Entrepreneur,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,E,Office Administrator,1,Steady
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,F,City Planner,-1,
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,G,Sports Coach,-1,
a0v9C000000004IQAQ,Goa,Q6.11,II,Industry Independent,H,Logistics & Supply Chain Professional,1,Emerging
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,A,Accountant,1,Steady
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,B,Photographer,-1,
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,C,Salesperson,1,Steady
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,D,Entrepreneur,1,Emerging
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,E,Office Administrator,1,Steady
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,F,City Planner,-1,
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,G,Sports Coach,-1,
a0vOW0000006JCrYAM,Haryana,Q6.11,II,Industry Independent,H,Logistics & Supply Chain Professional,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,A,Architect,1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,B,Sales Person,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,C,Police Officer,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,D,Fashion Designer,1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,E,Interior Designer,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,F,Chef,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,G,Digital Illustrator,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.7,ADA,Art Design & Architecture,H,Animator,1,Emerging
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,A,Architect,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,B,Sales Person,-1,
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,C,Police Officer,-1,
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,D,Fashion Designer,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,E,Interior Designer,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,F,Chef,-1,
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,G,Digital Illustrator,1,Emerging
a0v9C00000010e3QAA,Nagaland,Q6.7,ADA,Art Design & Architecture,H,Animator,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,A,Fashion Designer,1,Steady
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,B,Accountant,-1,
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,C,Plumber,-1,
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,D,Graphic Designer,1,Steady
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,E,Architect,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,F,Hospital Administrator,-1,
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,G,Interior Designer,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.7,ADA,Art Design & Architecture,H,Animator,1,Emerging
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,A,Architect,1,Steady
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,B,Sales person,-1,
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,C,Police Officer,-1,
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,D,Fashion Designer,1,Steady
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,E,Interior Designer,1,Emerging
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,F,Chef,-1,
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,G,Digital Illustrator,1,Emerging
a0vOW0000006JCrYAM,Haryana,Q6.7,ADA,Art Design & Architecture,H,Animator,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,A,Performing Artist,1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,B,Lawyer,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,C,Digital Content Creator,1,Emerging
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,D,Social Worker,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,E,News Reporter,1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,F,Radio Jockey (RJ),1,Steady
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,G,Artificial Intelligence,-1,
a0v7F000003cyavQAA,Maharashtra,Q6.8,ME,Media & Entertainment,H,Digital Marketing Professional,1,Emerging
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,A,Performing Artist,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,B,Lawyer,-1,
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,C,Digital Content Creator,1,Emerging
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,D,Social Worker,-1,
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,E,News Reporter,1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,F,Radio Jockey (RJ),1,Steady
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,G,Artificial Intelligence,-1,
a0v9C00000010e3QAA,Nagaland,Q6.8,ME,Media & Entertainment,H,Digital Marketing Professional,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,A,Journalist,1,Steady
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,B,Teacher,-1,
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,C,Digital Content Creator,1,Emerging
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,D,Lawyer,-1,
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,E,Video Producer,1,Steady
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,F,Film Director,1,Steady
a0v9C000000004IQAQ,Goa,Q6.8,ME,Media & Entertainment,G,Environmental Scientist,-1,
