taluka_id,taluka_name
a0pOW000000IhUjYAK,Yamunanagar
a0p9C0000004mQVQAY,Area 6 ( Badgaon)
a0p9C0000004mREQAY,Area 7 (Girwah Rural)
a0pOW0000001Qy9YAE,Chumoukedima
a0pOW0000001QzlYAE,Dimapur
a0pOW0000001R1NYAU,Kiphire
a0pOW0000001R4bYAE,Kohima
a0pOW0000001R6DYAU,Longleng
a0pOW0000001R7pYAE,Mokokchung
a0pOW0000001R9RYAU,Mon
a0pOW0000001RB3YAM,Niuland
a0pOW0000001RCfYAM,Noklak
a0pOW0000001REHYA2,Peren
a0pOW0000001RHVYA2,Phek
a0pOW0000001RKjYAM,Shamator
a0pOW0000001RSnYAM,Tseminyu
a0pOW0000001Re5YAE,Tuensang
a0pOW0000001RfhYAE,Wokha
a0pOW0000001RhJYAU,Zunheboto
a0p7F000008JCilQAG,Thane
a0p7F00000CoarmQAB,Haveli
a0p7F00000CoarwQAB,Panvel
a0p7F00000Coas6QAB,Pune City
a0p7F00000CoasQQAR,Zone 2 (Lalbaug to Dharavi)
a0p7F00000CoasSQAR,Zone 5 (Powai to Mankhurd)
a0p7F00000CoasRQAR,Zone 3 (Bandra to Oshiwara)
a0p7F00000CoarxQAB,Zone 6 (Ghatkopar to Mulund)
a0p7F00000CoaskQAB,Zone 4 (Goregaon to Dahisar)
a0p9C0000004HXZQA2,New Mumbai
a0p9C0000004NwCQAU,"Area 1 ( Pratap Nagar, Debari, Purohit ki Madri, Dinkhli)"
a0p9C0000004NwHQAU,"Area 2 (Bedla, Dewali, Amba Mata/Nimach)"
a0p9C0000004NwMQAU,"Area 3 (Old Udaipur City, Surajpole)"
a0p9C0000004NwRQAU,"Area 4 ( Sector 14,Gowerdhan Vilas)"
a0p9C0000004NwWQAU,"Area 5 ( Kot Chauraya, Shastri Circle)"
a0p9C0000004lzeQAA,Ambernath
a0p9C0000004lzjQAA,SHAHAPUR
a0p9C0000004m0DQAQ,BHIWANDI
a0p9C0000004m0IQAQ,KALYAN DOMBIVLI
a0p9C0000004m0NQAQ,MURBAD
a0p9C0000004m0SQAQ,ULHASNAGAR
a0p9C0000004mBuQAI,BHOOM
a0p9C0000004mBzQAI,KALLAMB
a0p9C0000004mC4QAI,LOHARA
a0p9C0000004mC9QAI,OMERGA
a0p9C0000004mCEQAY,OSMANABAD
a0p9C0000004mCJQAY,PARANDA
a0p9C0000004mCOQAY,TULJAPUR
a0p9C0000004mCTQAY,WASHI
a0p9C0000004HMbQAM,Ponda
a0p9C0000004HMgQAM,Quepem
a0p9C0000004HMlQAM,Sanguem
a0p9C0000004HMqQAM,Mormugao
a0p9C0000004HMvQAM,Dharbandora
a0p9C0000004HN5QAM,Canacona
a0p9C0000004HMCQA2,Salcete
a0p7F00000CoasLQAR,Zone 1 (Colaba to Byculla)
a0p9C0000004HM7QAM,Bardez
a0p9C0000004HMMQA2,Tiswadi
a0p9C0000004HMRQA2,Bicholim
a0p9C0000004HMWQA2,Pernem
a0p9C0000004HN0QAM,Sattari
a0pOW000000IWkbYAG,Barmer
a0pOW000000IWsfYAG,Pali
a0pOW000000IWuHYAW,Jodhpur
a0pOW000000IWvtYAG,Dausa
a0pOW000000IWxVYAW,Baran
a0pOW000000IWz7YAG,Jaipur
a0p7F000001cAHYQA2,Udaipur
a0p7F00000EZ8oZQAT,Zone 1 (Colaba to Byculla)
a0p7F00000EZO5TQAX,Mumbai
a0p9C0000004C9NQAU,Goa
a0p9C0000004CArQAM,Pimpri Chinchwad
a0pOW000000AaDyYAK,PURANADR
a0p7F00000EZO5TQAX,Mumbai
a0pOW000000aSFVYA2,Masoom Pune & Ahmednagar
