ward_id,ward_name
a0wOW0000002FB3YAM,Sadhaura
a0w9C0000004CClQAM,Goa
a0w7F000008hwb3QAA,F/S
a0w7F000008hwbmQAA,R/N
a0w7F000008hwf5QAA,H/W
a0w7F000008hwfyQAA,K/W
a0w7F000008hwgmQAA,P/N
a0w7F000008iOswQAE,M- West
a0w7F000001NdYsQAK,Udaipur
a0w7F000005VLayQAG,Thane
a0w7F000005GYaOQAW,Pune
a0w7F000007SkqKQAS,B
a0w7F000007SkqJQAS,A
a0w7F000007SkqNQAS,E
a0w7F000007SkqMQAS,D
a0w7F000007SkqLQAS,C
a0w7F000007SkqOQAS,F (North)
a0w7F000007SkqPQAS,F (South)
a0w7F000007SkqRQAS,G (South)
a0w7F000007SkqQQAS,G (North)
a0w7F000007SkqTQAS,H (West)
a0w7F000007SkqSQAS,H (East)
a0w7F000007SkqVQAS,K (West)
a0w7F000007SkqUQAS,K (East)
a0w7F000007SkqXQAS,M (East)
a0w7F000007SkqWQAS,L
a0w7F000007SkqYQAS,M (West)
a0w7F000007SkqZQAS,N
a0w7F000007SkqaQAC,Navi Mumbai
a0w7F000007SkqbQAC,P (North)
a0w7F000007SkqdQAC,Panvel
a0w7F000007SkqcQAC,P (South)
a0w7F000007SkqfQAC,R (Central)
a0w7F000007SkqhQAC,R/S
a0w7F000007SkqgQAC,R (North)
a0w7F000007SkqiQAC,S
a0w7F000007SkqjQAC,T
a0w7F000007SkqeQAC,Pimpri-Chinchwad
a0w9C0000004SQBQA2,K/E
a0w9C0000004XKRQA2,North Goa
a0w9C0000004YAEQA2,New Mumbai
a0w9C0000004XKWQA2,South Goa
a0wOW0000002C57YAE,Kishanganj
a0wOW0000002C58YAE,Antah
a0wOW0000002C59YAE,Baran
a0wOW0000002C5BYAU,AADEL
a0wOW0000002C5AYAU,Shahbad
a0wOW0000002C5DYAU,BALOTRA
a0wOW0000002C5EYAU,Samdari
a0wOW0000002C5CYAU,Baytoo
a0wOW0000002C5GYAU,PANYLA KALA
a0wOW0000002C5FYAU,Sindhari
